Espece;Traitement;Amines
D;Stress;926.57
D;Stress;963.22
D;Stress;1139.58
D;Stress;1064.29
D;Stress;938.67
D;Stress;966.45
D;Stress;948.76
D;Stress;1092.60
D;Stress;1260.87
D;Stress;1031.13
D;Stress;1369.73
D;Stress;755.26
D;Stress;1181.40
D;Stress;1193.17
D;Stress;1162.64
D;Stress;1165.35
D;Stress;1031.49
D;Stress;1092.94
D;Stress;1317.23
D;Stress;1081.95
D;Temoin;688.82
D;Temoin;785.87
D;Temoin;1207.88
D;Temoin;693.15
D;Temoin;1189.21
D;Temoin;606.43
D;Temoin;1203.25
D;Temoin;1025.88
D;Temoin;831.50
D;Temoin;940.71
R;Stress;1330.65
R;Stress;175.34
R;Stress;1290.88
R;Stress;1209.03
R;Stress;1362.01
R;Stress;1375.51
R;Stress;1052.90
R;Stress;1272.90
R;Stress;1177.22
R;Stress;1553.81
R;Stress;1347.78
R;Stress;1515.39
R;Stress;1558.10
R;Stress;1299.16
R;Stress;1074.78
R;Stress;1117.04
R;Stress;1135.62
R;Stress;1282.30
R;Stress;1305.65
R;Stress;1010.44
R;Temoin;1380.62
R;Temoin;1091.79
R;Temoin;1105.79
R;Temoin;1229.83
R;Temoin;1190.86
R;Temoin;901.89
R;Temoin;998.41
R;Temoin;1132.61
R;Temoin;1922.29
R;Temoin;1100.93
R;Temoin;128.08
R;Temoin;1243.13
R;Temoin;1279.88
R;Temoin;1418.52
R;Temoin;1039.90
R;Temoin;1461.91
R;Temoin;1282.41
R;Temoin;1011.80
R;Temoin;1575.60
R;Temoin;1369.11
S;Stress;1266.44
S;Stress;1123.08
S;Stress;1283.12
S;Stress;836.17
S;Stress;728.20
S;Stress;1019.97
S;Stress;893.67
S;Stress;1479.99
S;Stress;1232.12
S;Stress;1282.05
S;Stress;1450.67
S;Stress;860.09
S;Stress;925.38
S;Stress;658.56
S;Stress;1823.41
S;Stress;1368.40
S;Stress;952.85
S;Stress;1088.03
S;Stress;1064.15
S;Stress;1086.17
S;Temoin;729.97
S;Temoin;987.42
S;Temoin;1378.57
S;Temoin;1526.05
S;Temoin;835.33
S;Temoin;1010.64
S;Temoin;1043.09
S;Temoin;525.56
S;Temoin;717.26
S;Temoin;886.20
S;Temoin;1071.41
S;Temoin;1137.18
S;Temoin;643.99
S;Temoin;1183.43
S;Temoin;1166.66
S;Temoin;1021.43
S;Temoin;979.42
S;Temoin;12.00
S;Temoin;1162.25
S;Temoin;914.66
