"Diameter";"Volume";"Height";"Circumference"
21.082;0.292;2133.6;66.231
21.844;0.292;1981.2;68.625
22.352;0.289;1920.24;70.221
26.67;0.464;2194.56;83.786
27.178;0.532;2468.88;85.382
27.432;0.558;2529.84;86.18
27.94;0.442;2011.68;87.776
27.94;0.515;2286;87.776
28.194;0.64;2438.4;88.574
28.448;0.564;2286;89.372
28.702;0.685;2407.92;90.17
28.956;0.595;2316.48;90.968
28.956;0.606;2316.48;90.968
29.718;0.603;2103.12;93.362
30.48;0.541;2286;95.756
32.766;0.629;2255.52;102.937
32.766;0.957;2590.8;102.937
33.782;0.776;2621.28;106.129
34.798;0.728;2164.08;109.321
35.052;0.705;1950.72;110.119
35.56;0.977;2377.44;111.715
36.068;0.898;2438.4;113.311
36.83;1.028;2255.52;115.705
40.64;1.085;2194.56;127.674
41.402;1.206;2346.96;130.068
43.942;1.569;2468.88;138.048
44.45;1.577;2499.36;139.644
45.466;1.651;2438.4;142.836
45.72;1.458;2438.4;143.634
45.72;1.444;2438.4;143.634
52.324;2.18;2651.76;164.381
