"EAU";"AIR";"DEBOIST"
4.9111111;2.111111;"AVANT"
2.9;-2.66;"AVANT"
4.0363636;1.318182;"AVANT"
7.82;6.42;"AVANT"
6.75;3.46;"AVANT"
5.8333333;2.966667;"AVANT"
5.24;1.94;"AVANT"
5.75;3;"AVANT"
7.0454545;4.309091;"AVANT"
7.73;3.04;"AVANT"
10.33;6.63;"AVANT"
9.15;4.53;"AVANT"
13.8;11.84;"AVANT"
12.6875;9.525;"AVANT"
13.85;11.41;"AVANT"
13.6555556;11.333333;"AVANT"
15.8181818;13.445455;"AVANT"
16.85;14.53;"AVANT"
16.5;13.9;"AVANT"
13.625;8.975;"AVANT"
13.875;10.75;"AVANT"
13.65;11.88;"AVANT"
14.2;12.57;"AVANT"
11.5875;7.85;"AVANT"
8.42;6.08;"AVANT"
9.5;8.109091;"AVANT"
2.45;-0.62;"AVANT"
4.625;4.5625;"AVANT"
5.5;5.01;"APRES"
4.8333333;5.33;"APRES"
0.5909091;-3.036364;"APRES"
0.55;-2.16;"APRES"
4.4;2.57;"APRES"
5.9166667;5.3875;"APRES"
7.125;5.68;"APRES"
5.9;4.11;"APRES"
7.4545455;5.509091;"APRES"
8.85;6.02;"APRES"
6.3;2.92;"APRES"
9.4;7.03;"APRES"
14.4375;11.91;"APRES"
12.4;11.02;"APRES"
14.68;10.53;"APRES"
16.2625;12.04;"APRES"
16.4363636;11.872727;"APRES"
18.31;15.34;"APRES"
18.8875;15.75;"APRES"
17.55;14.9;"APRES"
13.85;8.61;"APRES"
13;7.76;"APRES"
12.86;8.72;"APRES"
13.55;11.12;"APRES"
11.35;9.55;"APRES"
6.2272727;3.527273;"APRES"
3.15;1.67;"APRES"
3.8;3.46;"APRES"
