;100m;Longueur;Poids;Hauteur;400m;110m.haies;Disque;Perche;Javelot;1500m;Rang;Points;Competition
Sebrle;10.85;7.84;16.36;2.12;48.36;14.05;48.72;5.0;70.52;280.01;1;8893;JO04
Clay;10.44;7.96;15.23;2.06;49.19;14.13;50.11;4.9;69.71;282.00;2;8820;JO04
Karpov;10.50;7.81;15.93;2.09;46.81;13.97;51.65;4.6;55.54;278.11;3;8725;JO04
Macey;10.89;7.47;15.73;2.15;48.97;14.56;48.34;4.4;58.46;265.42;4;8414;JO04
Warners;10.62;7.74;14.48;1.97;47.97;14.01;43.73;4.9;55.39;278.05;5;8343;JO04
Zsivoczky;10.91;7.14;15.31;2.12;49.40;14.95;45.62;4.7;63.45;269.54;6;8287;JO04
Hernu;10.97;7.19;14.65;2.03;48.73;14.25;44.72;4.8;57.76;264.35;7;8237;JO04
Nool;10.80;7.53;14.26;1.88;48.81;14.80;42.05;5.4;61.33;276.33;8;8235;JO04
Bernard;10.69;7.48;14.80;2.12;49.13;14.17;44.75;4.4;55.27;276.31;9;8225;JO04
Schwarzl;10.98;7.49;14.01;1.94;49.76;14.25;42.43;5.1;56.32;273.56;10;8102;JO04
Eaton;10.46;7.94;14.73;2.01;46.07;13.80;45.49;5.2;59.77;263.3;1;8893;JO16
Mayer;10.81;7.60;15.76;2.04;48.28;14.02;46.78;5.4;65.04;265.5;2;8834;JO16
Warner;10.3;7.67;13.66;2.04;47.35;13.58;44.93;4.7;63.19;264.9;3;8666;JO16
Kazmirek;10.78;7.69;14.20;2.10;46.75;14.62;43.25;5.0;64.60;271.2;4;8580;JO16
Bourrada;10.75;7.52;13.78;2.10;47.98;14.15;42.39;4.6;66.49;254.6;5;8521;JO16
Suarez;11.21;7.14;14.27;2.07;48.15;14.48;47.07;4.9;72.32;268.3;6;8460;JO16
Ziemek;10.71;7.49;13.44;2.10;49.83;14.77;49.42;5.2;60.92;283;7;8392;JO16
Van Der Plaetsen;11.24;7.66;12.84;2.16;49.63;15.01;43.58;5.4;62.09;274.2;8;8332;JO16
Felix;10.93;7.42;14.77;2.07;49.14;14.79;45.10;4.5;69.92;270.5;9;8323;JO16
Araujo;10.77;7.48;15.26;1.92;48.14;14.17;45.10;4.9;57.28;271.5;10;8315;JO16
Abele;10.86;7.42;15.64;1.93;48.01;13.94;45.42;4.60;68.10;270.84;1;8431;CE18
Samuelsson;11.04;7.52;13.99;2.08;49.60;14.70;43.94;4.50;56.91;278.10;9;8005;CE18
Shkurenyov;11.12;7.55;13.43;2.02;48.95;14.44;45.53;5.30;59.13;271.38;2;8321;CE18
Dolezal;11.06;7.12;14.03;2.02;49.42;14.58;45.81;4.80;62.67;281.27;8;8067;CE18
Roe;10.86;7.61;15.48;1.96;49.42;15.31;42.22;4.80;64.53;281.40;6;8131;CE18
Kaul;11.36;7.20;13.85;2.08;49.28;14.78;46.30;4.70;67.72;263.67;4;8220;CE18
Braun;11.33;7.52;14.22;2.02;48.52;14.56;43.75;4.60;59.53;267.20;7;8105;CE18
Cairoli;10.94;7.49;13.25;2.05;48.77;14.66;35.30;4.60;59.62;268.30;10;7949;CE18
Duckworth;10.65;7.57;13.61;2.17;49.87;14.55;41.94;5.10;54.78;298.28;5;8160;CE18
Zhuk;11.12;7.05;15.65;1.99;48.41;14.66;45.46;4.90;66.19;270.81;3;8290;CE18
MAYER;10.55;7.80;16.00;2.05;48.42;13.75;50.54;5.45;71.90;276.11;1;9126;Decastar18
ABELE;10.84;7.19;15.20;1.93;48.48;13.86;44.67;4.75;65.35;273.78;2;8310;Decastar18
NOWAK;11.19;7.56;14.50;1.96;49.29;14.72;45.31;4.85;64.00;266.80;3;8229;Decastar18
BRAUN;11.17;7.29;14.37;2.02;49.09;14.61;46.51;4.45;56.51;276.39;4;7965;Decastar18
GADO;10.75;7.43;12.90;1.90;48.03;15.24;37.46;5.15;56.28;266.69;5;7957;Decastar18
AUZEIL;11.39;6.85;14.93;1.96;50.03;14.78;45.05;4.85;59.70;283.73;6;7818;Decastar18
WIESIOLEK;11.18;7.07;13.15;1.96;50.68;15.15;44.75;4.85;57.60;285.45;7;7684;Decastar18
NILSSON;11.40;6.62;13.73;1.96;52.67;15.21;43.06;4.95;63.43;274.20;8;7627;Decastar18
LELIEVRE;11.25;7.16;13.64;1.87;50.09;15.63;40.11;4.35;51.87;277.84;9;7329;Decastar18
BARAN;11.04;7.10;13.19;1.90;51.12;15.35;38.87;4.85;49.45;304.50;10;7276;Decastar18
